Layer;Head;Direction;Important Tokens;Types of Important Tokens;Strength of attention;Scope;Coverage (one text or both)
1;1;To CLS;Names, subword tokens (all), topical nouns;Content words, subword tokens;Moderately strong;Global;Both
1;2;To CLS;Names, subword tokens (all), topical nouns, narrational verbs;Content words, subword tokens;Strong;Global;Both
1;5;To CLS;Names, subword tokens (initial);Content words, subword tokens;Moderately strong;Global;Both
1;7;Between tokens (between non-narrational verbs);Non-narrational verbs;Content words, subword tokens;Moderately strong;Large;Both
1;9;Between tokens (narrational verbs and full/short form variations);Narrational verbs, full/short form variations;Content words, special function words;Moderately strong;Local;Both
1;9;To CLS;Names, words co-referring to named persons;Content words;Moderately strong;Global;Both
2;7;To CLS;Subword tokens (non-initial), prepositions;Function words, subword tokens;Moderately strong;Global;Both
2;9;To CLS;Names, stylistically variable words, in-word mistakes;Content words, subword tokens, function words, mistakes;Moderately strong;Global;Both
2;10;To CLS;Names, stylistically variable words, diatopic variations;Content words, subword tokens, function words, mistakes;Moderately strong;Global;Both
3;1;To CLS;Names, stylistically variable set phrases;Content words, set phrases;Moderately strong;Global;Both
3;4;From CLS;Names, verbs related to names, quotes ;Content words, punctuation;Moderately strong;Global;Both
3;5;To CLS;Topical nouns, subword tokens (all), full stops, quotes;Content words, subword tokens, punctuation;Moderately strong;Global;Both
3;5;From CLS;Uniform attention;Uniform attention;Weak;Global;Both
3;5;Between tokens (words to punctuation);Full stops, commas, quotes, question marks, other punctuation;Punctuation;Moderately strong;Local;Both
3;6;Between tokens (identity relation);Subword tokens, prepositions, wh-words, pronouns, in-word mistakes;Function words, subword tokens, mistakes;Strong;Large;Both
3;9;To CLS;Infrequent narrational verbs, stylistically variable set phrases, topical nouns, other verbs;Content words, set phrases;Strong;Large;Both
3;10;Between subword tokens;Names, in-word mistakes, abbreviations;Subword tokens;Moderately strong;Neighbor;Both
3;12;From CLS;Narrational verbs, punctuation;Content words, punctuation;Moderately strong;Global;Both
4;1;Between tokens (narrational verbs and quotes);Narrational verbs, quotes;Content words, punctuation;Moderately strong;Local;Both
4;2;From CLS;Names, narrational verbs, stylistically variable words, diatopic variations, full/short form variations, infrequent words, various mistakes, obscene words, numbers;Content words, special function words, mistakes, numbers;Moderately strong;Large;First
