text,label,correctness,logits,topwords,topwords_lime,topwords_obf
""" Sir, I have the the reports you""ve asked for"" The bridge commander stated. "" Ahhh, thank you commander. Prep the fleet for the jump to Kashyyik"" Admiral Segutav ordered in his thick German accent. "" Yessir. Setting location now"" The commander replied. "" if I may ask sir, why did you need the reports on the Ghost""s crew?"" "" I""ve been put in charge of this fleet by none other than Grand Admiral Thrawn himself. He put me in command of this fleet with the sole purpose to destroy the Phoenix Squadron.$&*&*&$Hercules woke up when he heard Xena dreaming so he went and fetched some ale and put some sleeping poison in it. ""Xena, here take a drink."" Hercules kindly demanded. ""Thank you, I think I need a drink."" Xena replied. ""Xena, what was that all about?"" Hercules asked. ""I had a dream I was on Mount Olympus and Ares jumped out from somewhere with Gabrielle, then we started talking and all of a sudden he killed Gabrielle."" Xena sobbed.",0,True,[[ 4.1582108 -4.244451 ]],"['Segutav', 'Xena', 'Ahhh', 'I', 'Sir', 'Hercules', 'ordered', 'Yessir', 'Thank', 'replied']","[('Segutav', -0.4172649601340241), ('Xena', -0.27764866366268015), ('Ahhh', -0.17692358805464192), ('I', -0.16901860233491572), ('Sir', -0.13093255139109722), ('Hercules', -0.1106918155774208), ('ordered', -0.0876324958481001), ('Yessir', -0.08416150300650703), ('Thank', -0.08020145222810786), ('replied', 0.05894641504772342)]","[{'Segutav': array([ 7.6103687, -6.5250416], dtype=float32)}, {'Xena': array([-1.1145916,  1.1298003], dtype=float32)}, {'Ahhh': array([-0.49818182,  0.47477627], dtype=float32)}, {'I': array([ 0.6196306, -0.551337 ], dtype=float32)}, {'Sir': array([-0.6503434,  0.6286473], dtype=float32)}, {'Hercules': array([-0.6051874 ,  0.58823967], dtype=float32)}, {'ordered': array([ 0.7938595, -0.7076478], dtype=float32)}, {'Yessir': array([-0.44902372,  0.42178392], dtype=float32)}, {'Thank': array([ 0.28726006, -0.29658556], dtype=float32)}, {'replied': array([-1.3187771,  1.4551167], dtype=float32)}]"
"Comment with any issues or support. Again Thankyou Above Kashyyyk "" Admiral, we have fed the Ghost""s crew the bait. Now all that is left is for the trap to be sprung. They should be here within the day."" The first lieutenant spoke confidently. "" Very good, very good lieutenant,"" Admiral Segutav chucked, pleased"" I Believe this calls for a promotion. You at now a captain. Remember to contact us as soon as you spot the rebels. Over and out"" and with that the transmission ended.$&*&*&$She walked out and hiked up the mountain to the very top and shut her eyes and imagined Gabrielle""s face. ""Gabrielle, if you can hear you, just send a sign to let me know you""re alright."" All of a sudden Gabrielle heard something that sounded like Xena""s voice. Gabrielle concentrated really hard and heard the message again. Then she thought of a way to let Xena know she was safe, for now. Xena heard an eagle cry in the air, and all of a sudden Xena looked up and a feather landed straight in her hands.",0,True,[[ 5.540303 -5.816664]],"['Segutav', 'Xena', 'Kashyyyk', 'chucked', 'confidently', 'Admiral', 'Very', 'Gabrielle', 'walked', 'concentrated']","[('Segutav', -0.33724786964640574), ('Xena', -0.21760233623860928), ('Kashyyyk', -0.20740705174157698), ('chucked', -0.1420301269404839), ('confidently', -0.1269663793574679), ('Admiral', -0.12692331783370897), ('Very', -0.12417951153297169), ('Gabrielle', 0.11538626245899153), ('walked', -0.10817316006314877), ('concentrated', 0.007667787772335964)]","[{'Segutav': array([ 0.10763931, -0.15538168], dtype=float32)}, {'Xena': array([ 0.5382862, -0.7661953], dtype=float32)}, {'Kashyyyk': array([ 0.07844448, -0.13605928], dtype=float32)}, {'chucked': array([ 0.03174782, -0.04626179], dtype=float32)}, {'confidently': array([ 0.01452732, -0.01954985], dtype=float32)}, {'Admiral': array([ 0.08040714, -0.12513924], dtype=float32)}, {'Very': array([ 0.00484276, -0.00888062], dtype=float32)}, {'Gabrielle': array([-0.0130496 ,  0.01418781], dtype=float32)}, {'walked': array([ 0.0105567 , -0.01322317], dtype=float32)}, {'concentrated': array([ 0.00059319, -0.00326729], dtype=float32)}]"
"Two Raider-two""s pulled up on each side of the Ghost. "" No, we""d die before surrendering to you imperial scum"" Hera spat bitterly. "" Fine then, have it your way. Commander Hacer, Agent Dioxin... FIRE"" Admiral Segutav chucked. Before the crew realized what had happened the ship was rocked with multiple ion blasts killing any power on the ship. The Raider on the left pulled back and destroyed the hyperdrive.$&*&*&$""Hmm, I would have figured Xena would have already been awake. I guess she needs a wake-up kiss."" Hercules walked over to the other bed. All of a sudden the blankets were thrown off the bed and Ares was there. ""What, no kiss for me. Thank the go... wait, thank me."" Ares said arrogantly. ""What are you doing here, and where is Xena?"" Hercules asked. ""You people just don""t get it, do you? Ares asked. ""Get what?"" Hercules replied. ""I am the God of War. I can and will do whatever I want."" Ares said.",0,True,[[ 5.5541115 -5.805817 ]],"['No', 'Segutav', 'Xena', 'Fine', 'Hercules', 'spat', 'Hmm', 'bitterly', 'chucked', 'Ares']","[('No', -0.22502683404309662), ('Segutav', -0.21608547560571878), ('Xena', -0.2126691873301442), ('Fine', -0.15698053210731186), ('Hercules', -0.13365357499928673), ('spat', -0.13325743693405182), ('Hmm', -0.11560417407627994), ('bitterly', -0.11112453859136032), ('chucked', -0.10715837860109971), ('Ares', 0.052712463740766685)]","[{'No': array([-0.0052557,  0.0095973], dtype=float32)}, {'Segutav': array([ 0.01723433, -0.03060389], dtype=float32)}, {'Xena': array([ 0.04442835, -0.08207846], dtype=float32)}, {'Fine': array([-0.0031476 ,  0.00759506], dtype=float32)}, {'Hercules': array([ 0.05396557, -0.09190941], dtype=float32)}, {'spat': array([ 0.00377464, -0.00965691], dtype=float32)}, {'Hmm': array([-0.01013899,  0.00829172], dtype=float32)}, {'bitterly': array([ 0.00409555, -0.01037407], dtype=float32)}, {'chucked': array([ 0.02180767, -0.04088449], dtype=float32)}, {'Ares': array([-0.00885868,  0.01393843], dtype=float32)}]"
"Ezra, do you have an opinion?"" Sabine asked confused"" and don""t you have more than just one shower? I mean come on this ship is huge."" "" well we do it""s just that those are us soldier""s and the Admiral said specifically to let you use his personal shower. He""s taken an interest to you and that loth-rat."" The trooper said in a annoyed tone.$&*&*&$Quickly Ares knocked Gabrielle off his chest and her body thudded to the ground. Ares quickly took advantage of this moment and jumped on top of Gabrielle. ""Ares get off me!"" Gabrielle exclaimed. ""You know what,"" Ares said,"" It has been a while since I have been with such a beautiful woman. I think this could be fun."" ""Ares, if you touch me your life will be over."" Gabrielle threatened. ""Oh, will it?"" Ares said as he started rubbing her soft skin.",0,True,[[ 5.549899 -5.80428 ]],"['Gabrielle', 'Sabine', 'Ezra', 'confused', 'You', 'Oh', 'annoyed', 'The', 'Ares', 'I']","[('Gabrielle', -0.31359996372230176), ('Sabine', -0.26787599586677746), ('Ezra', -0.22805215819865285), ('confused', -0.12980442333626796), ('You', -0.12789014674458815), ('Oh', -0.10617161293144031), ('annoyed', -0.08789719325903263), ('The', -0.08745500389099302), ('Ares', -0.08561456234039404), ('I', -0.07558997162888305)]","[{'Gabrielle': array([ 1.0477753, -1.270803 ], dtype=float32)}, {'Sabine': array([ 0.12419796, -0.23980618], dtype=float32)}, {'Ezra': array([ 0.00600052, -0.01446295], dtype=float32)}, {'confused': array([ 0.005651  , -0.00981712], dtype=float32)}, {'You': array([ 0.0503459 , -0.09435558], dtype=float32)}, {'Oh': array([ 0.0526886 , -0.08761597], dtype=float32)}, {'annoyed': array([ 0.00408316, -0.00452757], dtype=float32)}, {'The': array([ 0.00251007, -0.0017767 ], dtype=float32)}, {'Ares': array([-0.01472664,  0.01475763], dtype=float32)}, {'I': array([ 0.06072235, -0.08823776], dtype=float32)}]"
"She caught them and, in a softer tone, asked "" wait, how are you not old? I thought admirals had to be very old to get their title"". "" Nein, after graduating as a level 6 cadet I climbed through the ranks extremely fast. I was 17 when i commanded a strike group. And then Thrawn saw how talented I was and promoted me to Admiral."" He noted "" Wow, well I guess we have a lot more in common"" Sabine said "" What do you mean?"" he asked, even though she knew he knew what she meant. "" I saw armour.$&*&*&$""You have a brain,"" Gabrielle flirted,"" I""m sure you can think of something that can keep you out of trouble."" With saying that Gabrielle made it to the bath. ""Ohhhh, I think I""m going to be sick."" Gabrielle thought to herself. Meanwhile, Xena was almost at the top of Mount Olympus. She decided to stop for a little bit so she could have a snack and a drink. She knew Gabrielle would be okay for right now.",0,True,[[ 5.557923 -5.832482]],"['Sabine', 'Nein', 'Ohhhh', 'Gabrielle', 'asked', 'I', 'Xena', 'Thrawn', 'Wow', 'Olympus']","[('Sabine', -0.28519205978268125), ('Nein', -0.16741370151967824), ('Ohhhh', -0.15953168868221224), ('Gabrielle', -0.1440784005153598), ('asked', -0.11727051243509988), ('I', -0.11611489497632563), ('Xena', -0.10819209993598596), ('Thrawn', -0.10743786771290564), ('Wow', -0.09827913048486205), ('Olympus', 0.042723670559270656)]","[{'Sabine': array([ 1.3591332, -1.5100355], dtype=float32)}, {'Nein': array([ 0.00082874, -0.00070572], dtype=float32)}, {'Ohhhh': array([-0.00164509, -0.00196075], dtype=float32)}, {'Gabrielle': array([ 0.03058577, -0.03273582], dtype=float32)}, {'asked': array([ 0.0006671 , -0.00206232], dtype=float32)}, {'I': array([ 0.00362206, -0.00397205], dtype=float32)}, {'Xena': array([-0.00088549, -0.0094614 ], dtype=float32)}, {'Thrawn': array([-0.00020647, -0.00313759], dtype=float32)}, {'Wow': array([ 0.00209236, -0.00154924], dtype=float32)}, {'Olympus': array([ 0.00031805, -0.00269508], dtype=float32)}]"
"""Well...it""s just that...never mind. It""s nothing too worry about. As she lied on Sakai""s bed sleepily. ""I think I will take nap"" said Shana too Alastor. ""Hopefully, when I wake up from this nightmare, me and Sakai will go together too the festival"" she thought as she closed her ruby coloured eyes and fell into a deep sleep, hoping that what Sakai had said was all a bad dream. After what seemed like hours of sleep, Shana woke up from hearing the sound of her name.$&*&*&$After a few minutes, Tokaku started to look frustrated on one of the questions. Of course, Haru quickly noticed, ""Do you need help Tokaku-san?"" Tokaku unintentionally ignored Haru, she was too concentrated on the question. Haru looked at her friend""s expression, she just looked so cute with her brows furrowed, and slightly biting her lip. Suddenly Haru turned beet red. She shook it off quickly, and decided to help Tokaku with her assignment.",0,True,[[ 5.53478 -5.78405]],"['Sakai', 'Tokaku', 'said', 'Shana', 'thought', 'coloured', 'sleep', 'lied', 'Alastor', 'of']","[('Sakai', -0.22262190512977506), ('Tokaku', -0.13199401554080478), ('said', -0.12076744470672113), ('Shana', -0.10819766154892824), ('thought', -0.10184724123414668), ('coloured', -0.09268022016655754), ('sleep', -0.08558517403900143), ('lied', -0.08200581809235993), ('Alastor', -0.07771602810139124), ('of', 0.01306593540826854)]","[{'Sakai': array([ 0.09869003, -0.17445707], dtype=float32)}, {'Tokaku': array([ 0.11087132, -0.13882065], dtype=float32)}, {'said': array([-0.00136328, -0.00248528], dtype=float32)}, {'Shana': array([ 0.01183939, -0.0123167 ], dtype=float32)}, {'thought': array([-0.01012182,  0.01527643], dtype=float32)}, {'coloured': array([ 0.00304508, -0.01213741], dtype=float32)}, {'sleep': array([-0.00327015,  0.00603771], dtype=float32)}, {'lied': array([-0.00251102,  0.00654554], dtype=float32)}, {'Alastor': array([-0.01199007,  0.01652861], dtype=float32)}, {'of': array([-0.01228189,  0.02051258], dtype=float32)}]"
"There were stalls after stalls, side-by-side with at least a dozen people at each one. All the people were dressed in nice looking yukatas, all different colours and designs. Between the stalls there were giant banners of different colours and sizes and different designs. There were tons of people at the festival, all with smiles of joy on their face. Lantern after Lanterns hung before them.$&*&*&$She didn""t even turn on the light as she opened the faucet, and splashed her face with a handful of water. She then looked at her darkened reflection on the cracked mirror. It was cracked because she had punched it one night when she was frustrated to the point that she could have actually killed someone. She put her wet hand on the mirror, and whispered into the cold night air, ""Ichinose, just where the hell are you?"" She couldn""t take it. Yes, Tokaku was giving up.",0,True,[[ 4.6379137 -4.603499 ]],"['colours', 'Tokaku', 'Lanterns', 'stalls', 'people', 'the', 'She', 'banners', 'It', 'Ichinose']","[('colours', -0.26159683237195624), ('Tokaku', -0.23153744587529798), ('Lanterns', -0.17153669923168657), ('stalls', -0.15511808754937853), ('people', -0.15166426657692333), ('the', -0.14169848809759802), ('She', -0.12897549180445592), ('banners', -0.12238974893646358), ('It', -0.12035587368293464), ('Ichinose', 0.0720387607425909)]","[{'colours': array([ 2.0249326, -1.9557166], dtype=float32)}, {'Tokaku': array([ 2.0379124, -1.8214324], dtype=float32)}, {'Lanterns': array([ 2.071847 , -1.9938447], dtype=float32)}, {'stalls': array([ 0.86952376, -0.86879754], dtype=float32)}, {'people': array([ 0.67708397, -0.6669862 ], dtype=float32)}, {'the': array([-0.14567041,  0.17054605], dtype=float32)}, {'She': array([-0.23596287,  0.26014566], dtype=float32)}, {'banners': array([ 0.46760893, -0.44285727], dtype=float32)}, {'It': array([-0.16744137,  0.18388605], dtype=float32)}, {'Ichinose': array([-0.6797042,  0.7808938], dtype=float32)}]"
"Sakai also took a bite, a big bite, which covered his mouth with the sticky candy. Yoshida laughed when she saw that his mouth was dirty, which made Sakai embarrassed. His cheeks were going red, which made Yoshida feel bad for making Sakai embarrassed so she offered him a napkin which Sakai took and wiped his mouth with. ""Thank you"" Sakai said. ""Oh, um, no problem...um, sorry for making you feel embarrassed a moment ago"" Yoshida said in a quiet, shy voice.$&*&*&$(That goes for all of you who were left with wanting more!) Chapter 2 AN- Alright! Chapter two as promised! Sorry it took so long, I had it written, but I felt like I jumped something, but anyways, here it is! Thank you to everyone who reviewed, followed, and/or favorite! This chapter is dedicated to everyone who is reading! :3 Disclaimer- I do not, by any means, own Riddle Story of Devil (Akuma No Riddle) nor any of its cannon characters.",0,True,[[ 5.5179524 -5.800876 ]],"['Sakai', 'Riddle', 'Yoshida', 'embarrassed', 'reviewed', 'Disclaimer', 'means', 'feel', 'shy', 'of']","[('Sakai', -0.233061248354523), ('Riddle', -0.22199969735604316), ('Yoshida', -0.08775619793700026), ('embarrassed', -0.066371463342542), ('reviewed', -0.05588832435436971), ('Disclaimer', -0.04554992346229619), ('means', -0.04305077898738912), ('feel', -0.039918575337980336), ('shy', -0.035396176035452726), ('of', 0.01956107258150293)]","[{'Sakai': array([ 0.3741026, -0.5168967], dtype=float32)}, {'Riddle': array([ 1.2882829, -1.3852959], dtype=float32)}, {'Yoshida': array([ 0.00524187, -0.00951719], dtype=float32)}, {'embarrassed': array([ 0.01554394, -0.0193553 ], dtype=float32)}, {'reviewed': array([ 0.04312658, -0.0569582 ], dtype=float32)}, {'Disclaimer': array([ 0.04801559, -0.05570364], dtype=float32)}, {'means': array([ 0.11287451, -0.14043474], dtype=float32)}, {'feel': array([ 0.02600098, -0.02631235], dtype=float32)}, {'shy': array([ 0.02615166, -0.03149509], dtype=float32)}, {'of': array([ 0.04301786, -0.06417322], dtype=float32)}]"
"So they went off to buy a candy apple. Shana was the first to take a bite off the apple. ""dang this is sweet, its sooo good"" Shana thought while she took another bite, which left her with left then a half of the apple left. ""Wow Yukari-san sure eats fast"" Ike said while he took a small bite. After they were finished eating, Ike decided to go to the center of the festival to dance a bit. ""Hey Shana, you wanna dance? It""ll fun!"" ask Ike. ""Sure. But you better not do anything funny Ike-kun.$&*&*&$""You do know who the chairwoman of the academy is, right?"" ""Actually, I do not know who exactly she might be,"" Tokaku said as she cursed herself for not thinking about the chairwoman earlier. She cursed herself even more for waiting three months to get proper help. ""Then it is not within my power to I tell you who she is, her identity will be known later on. Of that I am sure."" ""Does she know where Haru is?"" Tokaku heard Kaiba sigh, ""In truth, nobody knows where she is.",0,True,[[ 4.0172815 -3.951593 ]],"['Tokaku', 'heard', 'cursed', 'Kaiba', 'Shana', 'You', 'chairwoman', 'Sure', 'Yukari', 'academy']","[('Tokaku', -0.3805352498136114), ('heard', -0.2592860667692131), ('cursed', -0.18957266892242836), ('Kaiba', 0.17446825569010893), ('Shana', -0.1656420892695272), ('You', -0.14255548924853811), ('chairwoman', -0.14006098872804734), ('Sure', -0.12771209098439185), ('Yukari', 0.03493952143256519), ('academy', 0.029312245068183817)]","[{'Tokaku': array([ 7.0243587, -6.0011854], dtype=float32)}, {'heard': array([ 6.159977, -5.298874], dtype=float32)}, {'cursed': array([ 1.2445569, -1.0682137], dtype=float32)}, {'Kaiba': array([-0.892581 ,  0.9106884], dtype=float32)}, {'Shana': array([ 0.7162676 , -0.62802076], dtype=float32)}, {'You': array([ 0.8969388 , -0.73712015], dtype=float32)}, {'chairwoman': array([ 0.88173294, -0.7458031 ], dtype=float32)}, {'Sure': array([-0.39265633,  0.38038492], dtype=float32)}, {'Yukari': array([-0.722785  ,  0.71068525], dtype=float32)}, {'academy': array([-0.55819654,  0.54998827], dtype=float32)}]"
"Sakai was dancing with Yoshida once they arrived in the center of the festival. Yoshida wish this moment would never end. She was standing there dancing with Sakai. But however it did end. A hand grabbed her shoulder from behind which startled her somewhat. ""Yoshida-san, the fireworks are starting soon, I know a perfect spot where we can see them"" Sakai said as he started to hold Yoshida""s hand and start running. They ran too a high hill where they saw the festival clearly from atop.$&*&*&$""I uh. No, I don""t."" Tokaku got up, and went towards Haru, ""I can show you, if you want."" Haru smiled, ""Yes! Haru wants you to show her!"" ""Aren""t you a bit too happy just for learning how to cook?"" Tokaku looked at Haru, but the girl seemed pleased. Was she planning for this? Nonetheless Tokaku showed Haru how to make a simple recipe of curry, after they ate, both went to study for the test that they had the next day. Haru sat on her bed, totally engrossed in the papers she had.",0,True,[[ 5.5473957 -5.814276 ]],"['Sakai', 'Tokaku', 'Yoshida', 'hand', 'ran', 'started', 'wish', 'end', 'Haru', 'engrossed']","[('Sakai', -0.23828567114030866), ('Tokaku', -0.15319673910942502), ('Yoshida', -0.13739118279079365), ('hand', -0.07385096547812833), ('ran', -0.062466130266736954), ('started', -0.06131840276955645), ('wish', -0.060937032615237724), ('end', -0.056246211371063164), ('Haru', -0.05484203827142396), ('engrossed', -0.048191041226134004)]","[{'Sakai': array([ 0.05673599, -0.08917809], dtype=float32)}, {'Tokaku': array([ 0.12754154, -0.18096924], dtype=float32)}, {'Yoshida': array([-0.00193787, -0.00947857], dtype=float32)}, {'hand': array([ 0.00318909, -0.0004077 ], dtype=float32)}, {'ran': array([ 0.00991106, -0.01539564], dtype=float32)}, {'started': array([ 0.00585699, -0.0080924 ], dtype=float32)}, {'wish': array([ 0.03548908, -0.05061674], dtype=float32)}, {'end': array([ 0.00624084, -0.00617075], dtype=float32)}, {'Haru': array([-0.01147938,  0.00987244], dtype=float32)}, {'engrossed': array([ 0.01671934, -0.02105665], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([0., 0.], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([0., 0.], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([ 0.27437782, -0.46403313], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([ 0.27437782, -0.46403313], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([0.00030851, 0.01899624], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([0.00030851, 0.01899624], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([0., 0.], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([-0.00230503,  0.01519871], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([0., 0.], dtype=float32)}, {'ran': array([0., 0.], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([-0.00230503,  0.01519871], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([-3.4332275e-05,  5.4306984e-03], dtype=float32)}, {'ran': array([-0.00055408,  0.00913477], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}, {'Sakai': array([0., 0.], dtype=float32)}, {'Tokaku': array([0., 0.], dtype=float32)}, {'Yoshida': array([0., 0.], dtype=float32)}, {'hand': array([-3.4332275e-05,  5.4306984e-03], dtype=float32)}, {'ran': array([-0.00055408,  0.00913477], dtype=float32)}, {'started': array([0., 0.], dtype=float32)}, {'wish': array([0., 0.], dtype=float32)}, {'end': array([0., 0.], dtype=float32)}, {'Haru': array([0., 0.], dtype=float32)}, {'engrossed': array([0., 0.], dtype=float32)}]"
